logbook/v1,This plugin is for logging users' activities,https://wordpress.org/plugins/search/logbook/
child-themify/v1,Create child themes with the click of a button,https://wordpress.org/plugins/child-themify/
versionpress,,
keliron/api/v3,,
bablic,Translate WP with this multilingual plugin,https://wordpress.org/plugins/bablic/
eum/v1,,
tvo/v1,,
frm/v2,,
app-mobile,,
ap3/v1,,
diets/v1,,
manage-customers/v1,,
leads,WordPress Leads?,https://wordpress.org/plugins/leads/
commentcava/v1.0,CommentCaVa disables the comment field for a certain amount of time,https://wordpress.org/plugins/commentcava/
lscf_rest,Advanced WordPress Filter Plugin,https://wordpress.org/plugins/live-search-custom-fields-lite/
wpv/v1,,
tho/v1,,
aghigh/v1,,
spnl/v1,A Newsletter Plugin for WordPress,https://wordpress.org/plugins/search/spnl/
task_manager/v1,Task manager,https://wordpress.org/plugins/task-manager/ 
customfiy/v1,Theme Customizer Booster,https://wordpress.org/plugins/customify/
CHifcoRegCardPluginV2/v1,,
CHifcoFireBasePlugin/v1,,
CHifcoFireBaseVII/v2,,
wp-api-menus/v2,,
envira-lightroom/v3,Envira Gallery allows you to create photo galleries and video galleries,https://wordpress.org/plugins/envira-gallery-lite/
comments/v1,,
addcomment/v1,,
pf/v1,,
postmatic/v1,,
ivole/v1,Customer Reviews for WooCommerce?,https://wordpress.org/plugins/customer-reviews-woocommerce/
shwcp/v1,,
wp-rest-api-log,WordPress plugin to log REST API requests and responses,https://wordpress.org/plugins/wp-rest-api-log/
wk/v1,,
sfp-live-search/v1,,
csco/v1,,
caos/v1,A plugin that inserts the Analytics tracking code,https://wordpress.org/plugins/host-analyticsjs-local/
rest/events,,
obfx-google-analytics,,
shariff/v1,Shariff provides share buttons that respect the privacy of visitors,https://wordpress.org/plugins/shariff/
wp-discourse/v1,This plugin allows to use Discourse as a community engine,https://wordpress.org/plugins/wp-discourse/
dbmvs,,
wp-crm/v1/form,This plugin is intended to significantly improve user management,https://wordpress.org/plugins/wp-crm/
gutenberg/v1,A new editing experience for WordPress,https://wordpress.org/plugins/gutenberg/
tribe_events/v2,,
rnet/v1,,
eklo/v2,,
menus/v1,,
sow/v1,,
wpbooklist/v1,Used to sell books, record and catalog a library,https://wordpress.org/plugins/wpbooklist/
tabulate,This plugin provides a simple user-friendly interface to tables in the database,https://wordpress.org/plugins/tabulate/
geoblog/v1,,
acf/v2,,
mobilegate/v2,,
jamtrap/v1,,
paf,,
in-cron/v1,,
awb/v1,AWB allows to use parallax backgrounds with images, videos, youtube and vimeo,https://wordpress.org/plugins/advanced-backgrounds/
wctofb/v1,WooCommerce to facebook shop,https://wordpress.org/plugins/woo-to-facebook-shop/
weekly-class/v1,Generate a weekly schedule of classes,https://wordpress.org/plugins/weekly-class-schedule/
be-to-tatsu/v1,,
braintree-gateway/v1/,A payment gateway,
bfwc/settings/kount/,,
gembloong/,,
